true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,86,4,9,4,30
Canola,1,87,7,2,3
Lucerne/Medics,3,1,374,5,5
Small grain grazing,2,7,24,23,18
Wheat,32,2,15,8,78
