true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,164118,3024,15398,19627,71669
Canola,18542,137944,9664,9307,17648
Lucerne/Medics,11444,4075,410429,49743,11244
Small grain grazing,18420,10386,36688,62460,25369
Wheat,118668,3239,27710,48767,179042
