true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,112,3,6,3,16
Canola,5,95,1,2,4
Lucerne/Medics,4,1,360,9,6
Small grain grazing,9,4,17,43,10
Wheat,23,0,13,7,77
