class_name,precision,recall,f1-score,support
Barley,0.39204545454545453,0.5,0.4394904458598726,138.0
Canola,0.7142857142857143,0.6896551724137931,0.7017543859649122,87.0
Lucerne/Medics,0.8586206896551725,0.7073863636363636,0.7757009345794392,352.0
Small grain grazing,0.23333333333333334,0.3181818181818182,0.2692307692307692,88.0
Wheat,0.39375,0.38181818181818183,0.38769230769230767,165.0
