true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,69,10,8,12,39
Canola,11,60,3,2,11
Lucerne/Medics,16,5,249,53,29
Small grain grazing,19,4,19,28,18
Wheat,61,5,11,25,63
