true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,569,0,15,19,287
Canola,16,843,8,9,69
Lucerne/Medics,18,14,1561,49,23
Small grain grazing,43,26,147,160,103
Wheat,278,16,99,74,909
