true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,149819,3775,19915,5592,94735
Canola,13149,137263,13937,3831,24925
Lucerne/Medics,9162,3211,451828,9943,12791
Small grain grazing,19637,9135,52878,42463,29210
Wheat,97957,2639,37341,15395,224094
