true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,112,3,5,3,17
Canola,6,94,1,2,4
Lucerne/Medics,5,1,361,8,5
Small grain grazing,10,3,15,46,9
Wheat,25,0,10,7,78
