true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,80,3,9,3,38
Canola,1,87,6,2,4
Lucerne/Medics,5,1,366,11,5
Small grain grazing,3,7,23,22,19
Wheat,34,2,12,10,77
