true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,107,3,5,4,21
Canola,5,94,2,3,3
Lucerne/Medics,5,1,356,12,6
Small grain grazing,8,3,14,49,9
Wheat,19,0,12,8,81
