true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,109,3,5,3,20
Canola,5,93,2,2,5
Lucerne/Medics,5,1,355,11,8
Small grain grazing,10,3,16,44,10
Wheat,20,0,10,5,85
