model,n_seeds,seeds,f1_macro,kappa,f1_macro_mean,f1_macro_std,kappa_mean,kappa_std
TabNet (field),1,42,0.309978618771579,0.17675466185094257,0.3130210241607113,0.024107761511290647,0.18385790503238453,0.03288611964363981
TabNet (field),3,"42,101,202",0.3945634550473307,0.29272862985367065,,,,
TabNet (field),5,"42,101,202,303,404",0.433132976374644,0.3408691098597513,,,,
L-TAE-S (field),1,42,0.5274588397441301,0.44284341166078334,0.562070802714411,0.021725784621587637,0.47213772276600735,0.023208415271107338
L-TAE-S (field),3,"42,101,202",0.5806396843661437,0.49512077530971166,,,,
L-TAE-S (field),5,"42,101,202,303,404",0.6011585021953586,0.515512657739494,,,,
CNN-BiLSTM (field),1,42,0.4869817711117982,0.31077884934016187,0.4807245731132019,0.018322643663047495,0.3136566603786311,0.019418355601274626
CNN-BiLSTM (field),3,"42,101,202",0.5200579575081227,0.34163926585759563,,,,
CNN-BiLSTM (field),5,"42,101,202,303,404",0.505962974554701,0.3256225594184491,,,,
