true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,206579,7169,9808,5021,64096
Canola,11790,197061,6349,5573,14202
Lucerne/Medics,13570,5664,503329,22307,17614
Small grain grazing,22788,7948,34120,68526,24529
Wheat,52453,1320,15208,12487,202403
