representation,split,f1m,wf1,kappa,acc,xent,n
raw_reflectance,in_region,0.7285006060420193,0.7953014053603599,0.7131803710436292,0.7963855421686747,0.6519028429374603,830
raw_reflectance,spatial_transfer,0.5908690195277322,0.6856054769535371,0.5017684813124481,0.6840579710144927,0.8547146314462157,2415
xr_fresh,in_region,0.7188390587317686,0.7632189310466596,0.6760829755936477,0.7650602409638554,0.740145169472592,830
xr_fresh,spatial_transfer,0.5617748348878333,0.6902794454738136,0.5036129719762688,0.7014492753623188,0.8231202387895686,2415
