true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,83,3,9,4,34
Canola,1,86,7,2,4
Lucerne/Medics,3,1,377,3,4
Small grain grazing,3,7,25,22,17
Wheat,30,2,16,6,81
