class_name,precision,recall,f1-score,support
Barley,0.5131763767969224,0.5923728070816109,0.5499379589512011,273836.0
Canola,0.873590323868931,0.7136428367986328,0.7855575253524258,193105.0
Lucerne/Medics,0.8142647618832171,0.8870383110682124,0.8490950855572451,486935.0
Small grain grazing,0.4372831234223374,0.4282136404844674,0.4327008626996105,153323.0
Wheat,0.6080022290669114,0.5318976435115758,0.5674094026503337,377426.0
