true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,162213,3984,17369,14041,76229
Canola,13690,137808,11214,7955,22438
Lucerne/Medics,10979,4198,431930,28528,11300
Small grain grazing,20109,8610,39485,65655,19464
Wheat,109105,3149,30456,33964,200752
