true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,72,3,8,6,49
Canola,3,70,5,1,8
Lucerne/Medics,5,1,337,4,5
Small grain grazing,7,3,32,35,11
Wheat,34,0,12,11,108
