true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,164402,2310,20158,5087,81879
Canola,15688,139892,13730,1861,21934
Lucerne/Medics,11848,3991,450918,8325,11853
Small grain grazing,23541,8880,55010,39990,25902
Wheat,93814,2983,39094,9924,231611
