true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,113,3,5,7,12
Canola,6,91,1,4,5
Lucerne/Medics,5,1,334,32,8
Small grain grazing,8,3,11,54,7
Wheat,31,0,9,12,68
