true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,87,0,8,5,25
Canola,3,75,3,3,5
Lucerne/Medics,4,3,339,7,3
Small grain grazing,9,2,33,20,21
Wheat,68,2,20,14,71
