true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,91,3,6,6,27
Canola,1,87,5,2,5
Lucerne/Medics,7,3,343,30,5
Small grain grazing,6,7,15,35,11
Wheat,45,2,8,13,67
