class_name,precision,recall,f1-score,support
Barley,0.6066666666666667,0.6842105263157895,0.6431095406360424,133.0
Canola,0.8529411764705882,0.87,0.8613861386138614,100.0
Lucerne/Medics,0.9098143236074271,0.884020618556701,0.8967320261437909,388.0
Small grain grazing,0.4069767441860465,0.47297297297297297,0.4375,74.0
Wheat,0.5826086956521739,0.4962962962962963,0.536,135.0
