true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,82,2,10,8,36
Canola,4,69,6,1,7
Lucerne/Medics,5,1,337,6,3
Small grain grazing,9,4,32,32,11
Wheat,41,0,13,12,99
