true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,536,2,9,16,30
Canola,20,386,1,14,5
Lucerne/Medics,12,1,702,44,54
Small grain grazing,60,0,52,169,65
Wheat,163,0,31,69,117
