class_name,precision,recall,f1-score,support
Barley,0.514792899408284,0.696,0.5918367346938775,125.0
Canola,0.9295774647887324,0.7415730337078652,0.825,89.0
Lucerne/Medics,0.8594164456233422,0.9101123595505618,0.8840381991814461,356.0
Small grain grazing,0.3793103448275862,0.25882352941176473,0.3076923076923077,85.0
Wheat,0.567741935483871,0.5028571428571429,0.5333333333333333,175.0
