true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,87,0,7,5,26
Canola,4,66,6,5,8
Lucerne/Medics,6,2,324,17,7
Small grain grazing,8,2,27,22,26
Wheat,64,1,13,9,88
