true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,151969,2349,19820,5870,93828
Canola,16146,138200,12812,3433,22514
Lucerne/Medics,8324,2974,452470,9344,13823
Small grain grazing,18247,11163,50015,38367,35531
Wheat,101096,2434,36006,15092,222798
