true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,110,3,5,2,20
Canola,5,94,2,1,5
Lucerne/Medics,4,1,360,9,6
Small grain grazing,11,3,14,44,11
Wheat,21,0,11,7,81
