true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,73,3,9,6,47
Canola,4,69,5,1,8
Lucerne/Medics,5,1,338,5,3
Small grain grazing,7,3,29,37,12
Wheat,32,0,13,8,112
