true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,147824,3344,19630,5251,97787
Canola,13873,138220,13094,3853,24065
Lucerne/Medics,9256,3194,452929,9046,12510
Small grain grazing,18878,8826,54080,42670,28869
Wheat,90740,2487,38426,12332,233441
