true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,210740,7270,10133,4827,59703
Canola,12368,197537,6828,5420,12822
Lucerne/Medics,14081,5727,507095,19393,16188
Small grain grazing,23991,7767,35605,67614,22934
Wheat,55837,1317,17506,14046,195165
