true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,162159,2626,15685,18119,75247
Canola,18327,137074,9853,9645,18206
Lucerne/Medics,9984,3788,413526,47531,12106
Small grain grazing,19508,10646,37358,60849,24962
Wheat,113780,3069,27696,47614,185267
