true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,75,4,18,1,40
Canola,9,47,16,1,14
Lucerne/Medics,6,2,331,1,12
Small grain grazing,14,5,48,2,19
Wheat,57,2,37,4,65
