true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,84,2,9,6,37
Canola,4,68,7,1,7
Lucerne/Medics,4,1,337,6,4
Small grain grazing,8,4,35,29,12
Wheat,36,0,14,10,105
