true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,164289,2175,20173,5136,82063
Canola,14850,140174,13732,1786,22563
Lucerne/Medics,11750,4180,451391,8195,11419
Small grain grazing,23398,8902,55294,39058,26671
Wheat,94656,2979,37857,10752,231182
