true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,89,2,4,12,26
Canola,1,86,2,6,5
Lucerne/Medics,4,1,328,50,5
Small grain grazing,4,7,13,32,18
Wheat,49,2,9,14,61
