true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,88,2,5,14,31
Canola,8,78,3,8,10
Lucerne/Medics,7,5,320,36,12
Small grain grazing,15,6,13,35,14
Wheat,25,0,12,23,60
