true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,83,5,7,8,30
Canola,1,88,4,4,3
Lucerne/Medics,5,1,339,37,6
Small grain grazing,5,7,17,27,18
Wheat,40,3,8,17,67
