true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,90,3,8,7,30
Canola,4,69,6,1,7
Lucerne/Medics,5,2,327,13,5
Small grain grazing,8,4,25,41,10
Wheat,39,1,11,16,98
