true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,74,2,9,6,47
Canola,3,70,5,1,8
Lucerne/Medics,4,1,339,3,5
Small grain grazing,6,2,32,35,13
Wheat,33,0,13,9,110
