true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,153441,2938,18839,6519,92099
Canola,14683,139578,11895,3038,23911
Lucerne/Medics,10660,3397,451150,9627,12101
Small grain grazing,20905,8247,52907,43540,27724
Wheat,90268,2503,33670,13925,237060
