true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,84,3,9,4,33
Canola,0,86,7,2,5
Lucerne/Medics,3,1,374,6,4
Small grain grazing,1,7,24,24,18
Wheat,30,2,16,7,80
