true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,217272,8029,9279,7151,50942
Canola,11292,198050,6120,7697,11816
Lucerne/Medics,13960,6033,499607,24600,18284
Small grain grazing,20596,8015,33302,74070,21928
Wheat,58121,1957,17345,16808,189640
