true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,87,3,5,12,26
Canola,1,87,5,2,5
Lucerne/Medics,10,2,348,25,3
Small grain grazing,4,7,16,36,11
Wheat,51,3,9,11,61
