true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,110,3,6,4,17
Canola,5,93,1,4,4
Lucerne/Medics,5,1,357,12,5
Small grain grazing,7,3,13,48,12
Wheat,22,0,11,8,79
