true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,114,3,5,3,15
Canola,5,94,1,3,4
Lucerne/Medics,4,1,358,9,8
Small grain grazing,9,3,15,47,9
Wheat,23,0,13,7,77
