true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,106,3,5,4,22
Canola,5,94,1,1,6
Lucerne/Medics,6,1,359,7,7
Small grain grazing,8,4,16,48,7
Wheat,16,2,10,7,85
