true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,167018,2047,19961,4247,80563
Canola,13484,139877,13595,1724,24425
Lucerne/Medics,10340,3498,453610,8639,10848
Small grain grazing,22440,8114,53808,41370,27591
Wheat,93549,2225,37700,9761,234191
