true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,79,1,23,21,68
Canola,1,103,24,7,3
Lucerne/Medics,3,1,1303,31,20
Small grain grazing,5,4,242,111,65
Wheat,33,1,56,60,150
