true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,108,2,23,12,47
Canola,9,111,9,3,6
Lucerne/Medics,95,47,894,29,295
Small grain grazing,73,19,188,74,73
Wheat,116,3,44,50,87
