true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,79,1,32,15,65
Canola,1,88,39,5,5
Lucerne/Medics,13,9,1267,45,24
Small grain grazing,16,8,244,101,58
Wheat,38,1,64,56,141
