true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,91,1,10,27,63
Canola,20,75,6,29,8
Lucerne/Medics,8,1,1129,192,28
Small grain grazing,8,8,153,196,62
Wheat,44,3,28,80,145
