class,precision,recall,f1-score,support,cross_entropy
Barley,0.6521739130434783,0.390625,0.48859934853420195,192.0,1.0478431648122244
Canola,0.9298245614035088,0.7681159420289855,0.8412698412698413,138.0,0.26696648593894634
Lucerne/Medics,0.7780443911217756,0.9550810014727541,0.8575206611570247,1358.0,2.8765629085539537
Small grain grazing,0.40942028985507245,0.2646370023419204,0.32147937411095306,427.0,3.1835742523366153
Wheat,0.49794238683127573,0.4033333333333333,0.44567219152854515,300.0,2.0089221542040088
accuracy,0.7089026915113872,0.7089026915113872,0.7089026915113872,0.7089026915113872,
macro avg,0.653481108451022,0.5563584558353987,0.5909082833201131,2415.0,
weighted avg,0.6767381547573093,0.7089026915113872,0.6813220377097245,2415.0,
