true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,54,4,26,24,84
Canola,0,98,22,9,9
Lucerne/Medics,7,11,1255,38,47
Small grain grazing,14,12,208,97,96
Wheat,18,7,61,54,160
