class,precision,recall,f1-score,support,cross_entropy
Barley,0.48717948717948717,0.296875,0.36893203883495146,192.0,1.3014612314569216
Canola,0.7727272727272727,0.2463768115942029,0.37362637362637363,138.0,0.7608542999231982
Lucerne/Medics,0.6496815286624203,0.9764359351988218,0.7802294792586054,1358.0,4.985597357533011
Small grain grazing,0.4375,0.01639344262295082,0.03160270880361174,427.0,2.8632145891784138
Wheat,0.37055837563451777,0.24333333333333335,0.2937625754527163,300.0,2.3426301366259414
accuracy,0.6198757763975156,0.6198757763975156,0.6198757763975156,0.6198757763975156,
macro avg,0.5435293328407396,0.35588290454986177,0.3696306351952517,2415.0,
weighted avg,0.5716034591257754,0.6198757763975156,0.5314990282173472,2415.0,
