true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,69,1,24,57,41
Canola,0,84,20,33,1
Lucerne/Medics,3,2,1282,57,14
Small grain grazing,3,2,240,151,31
Wheat,26,2,58,117,97
