class,precision,recall,f1-score,support,cross_entropy
Barley,0.2965779467680608,0.40625,0.34285714285714286,192.0,1.9955738349208798
Canola,0.5652173913043478,0.47101449275362317,0.5138339920948617,138.0,0.8209217367677859
Lucerne/Medics,0.8206713780918727,0.6840942562592047,0.7461847389558233,1358.0,4.218068997851974
Small grain grazing,0.2524137931034483,0.42857142857142855,0.3177083333333333,427.0,5.245889583784073
Wheat,0.3277777777777778,0.19666666666666666,0.24583333333333332,300.0,2.4160458927580173
accuracy,0.5440993788819876,0.5440993788819876,0.5440993788819876,0.5440993788819876,
macro avg,0.4525316574091015,0.43731936885018463,0.4332835081148989,2415.0,
weighted avg,0.602703403816454,0.5440993788819876,0.5629267064898567,2415.0,
