true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,112,2,14,9,55
Canola,39,80,7,2,10
Lucerne/Medics,182,2,906,94,174
Small grain grazing,54,5,152,119,97
Wheat,86,1,28,60,125
