true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,69,1,25,50,47
Canola,0,90,32,14,2
Lucerne/Medics,3,2,1299,40,14
Small grain grazing,4,4,264,120,35
Wheat,29,1,70,92,108
