class,precision,recall,f1-score,support,cross_entropy
Barley,0.6216216216216216,0.359375,0.45544554455445546,192.0,1.1012364420001
Canola,0.9223300970873787,0.6884057971014492,0.7883817427385892,138.0,0.3403822420716757
Lucerne/Medics,0.7558874210224009,0.9690721649484536,0.8493062278154243,1358.0,3.1168326559094197
Small grain grazing,0.41836734693877553,0.1920374707259953,0.26324237560192615,427.0,3.0634393786541967
Wheat,0.4962121212121212,0.43666666666666665,0.4645390070921986,300.0,2.015596313854836
accuracy,0.7010351966873706,0.7010351966873706,0.7010351966873706,0.7010351966873706,
macro avg,0.6428837215764596,0.529111419888513,0.5641829795605188,2415.0,
weighted avg,0.6627886194634879,0.7010351966873706,0.6630916268883681,2415.0,
