Model,class,f1_point,f1_lo,f1_hi
CNN-BiLSTM Field (field),Canola,0.7649,0.7046,0.8169
CNN-BiLSTM Field (field),Lucerne/Medics,0.6433,0.6195,0.6661
CNN-BiLSTM Field (field),Small grain grazing,0.3268,0.2915,0.3609
CNN-BiLSTM Field (field),Wheat,0.4079,0.3671,0.4471
3D CNN (patch),Barley,0.4438,0.3778,0.5056
3D CNN (patch),Canola,0.7296,0.6612,0.7902
3D CNN (patch),Lucerne/Medics,0.645,0.6222,0.667
3D CNN (patch),Small grain grazing,0.2804,0.2487,0.3116
3D CNN (patch),Wheat,0.4185,0.3713,0.4657
SMOTE Stacked (field),Barley,0.4041,0.3298,0.4752
SMOTE Stacked (field),Canola,0.5479,0.4834,0.6093
SMOTE Stacked (field),Lucerne/Medics,0.8424,0.8282,0.8561
SMOTE Stacked (field),Small grain grazing,0.2559,0.2103,0.3
SMOTE Stacked (field),Wheat,0.3933,0.3415,0.4449
CNN-BiLSTM (pixel),Barley,0.2799,0.2382,0.3204
CNN-BiLSTM (pixel),Canola,0.6547,0.578,0.7234
CNN-BiLSTM (pixel),Lucerne/Medics,0.7091,0.6878,0.7297
CNN-BiLSTM (pixel),Small grain grazing,0.3596,0.3162,0.4025
CNN-BiLSTM (pixel),Wheat,0.2882,0.2453,0.3311
Ensemble 3D CNN (patch),Barley,0.3682,0.3185,0.4168
Ensemble 3D CNN (patch),Canola,0.6781,0.6047,0.7429
Ensemble 3D CNN (patch),Lucerne/Medics,0.7085,0.6881,0.7286
Ensemble 3D CNN (patch),Small grain grazing,0.2607,0.2134,0.3085
Ensemble 3D CNN (patch),Wheat,0.2717,0.2353,0.3086
Multi-Ch CNN (patch),Barley,0.3642,0.3146,0.413
Multi-Ch CNN (patch),Canola,0.6938,0.634,0.7491
Multi-Ch CNN (patch),Lucerne/Medics,0.7101,0.6897,0.7297
Multi-Ch CNN (patch),Small grain grazing,0.2487,0.2018,0.294
Multi-Ch CNN (patch),Wheat,0.2153,0.1771,0.2531
TabNet Temporal Field (field),Barley,0.3429,0.2857,0.3982
TabNet Temporal Field (field),Canola,0.5138,0.4348,0.5866
TabNet Temporal Field (field),Lucerne/Medics,0.7462,0.7268,0.7654
TabNet Temporal Field (field),Small grain grazing,0.3177,0.2831,0.3524
TabNet Temporal Field (field),Wheat,0.2458,0.1953,0.2963
TabNet Field (field),Barley,0.3689,0.2993,0.4356
TabNet Field (field),Canola,0.3736,0.2791,0.4607
TabNet Field (field),Lucerne/Medics,0.7802,0.7644,0.7953
TabNet Field (field),Small grain grazing,0.0316,0.0095,0.0563
TabNet Field (field),Wheat,0.2938,0.2407,0.3455
Transformer (pixel),Barley,0.4965,0.4354,0.5533
Transformer (pixel),Canola,0.6726,0.5973,0.7398
Transformer (pixel),Lucerne/Medics,0.8635,0.8495,0.8772
Transformer (pixel),Small grain grazing,0.3928,0.3492,0.434
Transformer (pixel),Wheat,0.4605,0.4087,0.5107
L-TAE-S (pixel),Barley,0.4963,0.4343,0.5529
L-TAE-S (pixel),Canola,0.7552,0.6914,0.8123
L-TAE-S (pixel),Lucerne/Medics,0.8747,0.8616,0.8873
L-TAE-S (pixel),Small grain grazing,0.3995,0.3544,0.4427
L-TAE-S (pixel),Wheat,0.4677,0.4178,0.5161
L-TAE-S Field (field),Barley,0.4768,0.4089,0.5419
L-TAE-S Field (field),Canola,0.8413,0.7903,0.8864
L-TAE-S Field (field),Lucerne/Medics,0.8643,0.8506,0.8778
L-TAE-S Field (field),Small grain grazing,0.371,0.3261,0.4151
L-TAE-S Field (field),Wheat,0.4523,0.4056,0.4972
