true_label,Barley,Canola,Lucerne/Medics,Small grain grazing,Wheat
Barley,78,3,19,51,41
Canola,19,65,14,35,5
Lucerne/Medics,55,23,929,326,25
Small grain grazing,43,17,134,183,50
Wheat,68,7,36,130,59
