class,precision,recall,f1-score,support,cross_entropy
Barley,0.648854961832061,0.4427083333333333,0.5263157894736842,192.0,1.0211465262198123
Canola,0.8306451612903226,0.7463768115942029,0.7862595419847328,138.0,0.37375304031665885
Lucerne/Medics,0.8534621578099839,0.780559646539028,0.8153846153846154,1358.0,3.2035967312860465
Small grain grazing,0.33547008547008544,0.36768149882903983,0.35083798882681566,427.0,3.877686855805586
Wheat,0.4088888888888889,0.6133333333333333,0.49066666666666664,300.0,2.54952908575822
accuracy,0.6579710144927536,0.6579710144927536,0.6579710144927536,0.6579710144927536,
macro avg,0.6154642510582684,0.5901319247257875,0.5938929204673029,2415.0,
weighted avg,0.6890779248025555,0.6579710144927536,0.6682635930824838,2415.0,
